"year","zone","type","measure","value"
"2013","S01001790","Detached","Count",76
"2011","S01001790","Detached","Count",76
"2007","S01001790","Detached","Count",74
"2008","S01001790","Detached","Count",76
"2010","S01001790","Detached","Count",76
"2004","S01001790","All","Count",318
"2005","S01001790","All","Count",318
"2006","S01001790","All","Count",318
"2007","S01001790","All","Count",316
"2008","S01001790","All","Count",318
"2009","S01001790","All","Count",318
"2010","S01001790","All","Count",318
"2011","S01001790","All","Count",318
"2012","S01001790","All","Count",318
"2013","S01001790","All","Count",318
"2003","S01001790","All","Count",318
"2010","S01001790","Flats","Count",128
"2006","S01001790","Flats","Count",130
"2012","S01001790","Flats","Count",128
"2011","S01001790","Flats","Count",128
"2009","S01001790","Flats","Count",128
"2013","S01001790","Flats","Count",128
"2007","S01001790","Flats","Count",128
"2008","S01001790","Flats","Count",128
"2008","S01001790","Semi-Detached","Count",107
"2010","S01001790","Semi-Detached","Count",107
"2007","S01001790","Semi-Detached","Count",107
"2011","S01001790","Semi-Detached","Count",107
"2012","S01001790","Semi-Detached","Count",107
"2006","S01001790","Semi-Detached","Count",106
"2013","S01001790","Semi-Detached","Count",107
"2009","S01001790","Semi-Detached","Count",107
"2013","S01001790","Terraced","Count",7
"2012","S01001790","Terraced","Count",7
"2008","S01001790","Terraced","Count",7
"2006","S01001790","Terraced","Count",7
"2009","S01001790","Terraced","Count",7
"2011","S01001790","Terraced","Count",7
"2007","S01001790","Terraced","Count",7
"2010","S01001790","Terraced","Count",7
"2006","S01001790","Unknown","Count",0
"2011","S01001790","Unknown","Count",0
"2007","S01001790","Unknown","Count",0
"2008","S01001790","Unknown","Count",0
"2012","S01001790","Unknown","Count",0
"2010","S01001790","Unknown","Count",0
"2009","S01001790","Unknown","Count",0
"2013","S01001790","Unknown","Count",0
"2009","S01001790","Detached","Count",76
"2006","S01001790","Detached","Count",75
"2012","S01001790","Detached","Count",76
"2008","S01001790","Unknown","Ratio",0
"2008","S01001790","Terraced","Ratio","2.2"
"2011","S01001790","Terraced","Ratio","2.2"
"2007","S01001790","Unknown","Ratio",0
"2011","S01001790","Unknown","Ratio",0
"2006","S01001790","Unknown","Ratio",0
"2007","S01001790","Semi-Detached","Ratio","33.86"
"2013","S01001790","Unknown","Ratio",0
"2006","S01001790","Semi-Detached","Ratio","33.33"
"2009","S01001790","Unknown","Ratio",0
"2007","S01001790","Flats","Ratio","40.51"
"2012","S01001790","Semi-Detached","Ratio","33.65"
"2010","S01001790","Flats","Ratio","40.25"
"2012","S01001790","Unknown","Ratio",0
"2010","S01001790","Unknown","Ratio",0
"2012","S01001790","Terraced","Ratio","2.2"
"2006","S01001790","Terraced","Ratio","2.2"
"2013","S01001790","Detached","Ratio","23.9"
"2009","S01001790","Detached","Ratio","23.9"
"2009","S01001790","Flats","Ratio","40.25"
"2006","S01001790","Flats","Ratio","40.88"
"2013","S01001790","Flats","Ratio","40.25"
"2007","S01001790","Detached","Ratio","23.42"
"2012","S01001790","Detached","Ratio","23.9"
"2013","S01001790","Terraced","Ratio","2.2"
"2011","S01001790","Detached","Ratio","23.9"
"2013","S01001790","Semi-Detached","Ratio","33.65"
"2009","S01001790","Semi-Detached","Ratio","33.65"
"2006","S01001790","Detached","Ratio","23.58"
"2008","S01001790","Detached","Ratio","23.9"
"2008","S01001790","Flats","Ratio","40.25"
"2010","S01001790","Detached","Ratio","23.9"
"2009","S01001790","Terraced","Ratio","2.2"
"2012","S01001790","Flats","Ratio","40.25"
"2011","S01001790","Flats","Ratio","40.25"
"2007","S01001790","Terraced","Ratio","2.22"
"2010","S01001790","Semi-Detached","Ratio","33.65"
"2008","S01001790","Semi-Detached","Ratio","33.65"
"2010","S01001790","Terraced","Ratio","2.2"
"2011","S01001790","Semi-Detached","Ratio","33.65"
"2013","S01001791","Detached","Count",141
"2011","S01001791","Detached","Count",141
"2007","S01001791","Detached","Count",142
"2008","S01001791","Detached","Count",142
"2010","S01001791","Detached","Count",140
"2004","S01001791","All","Count",300
"2005","S01001791","All","Count",300
"2006","S01001791","All","Count",303
"2007","S01001791","All","Count",305
"2008","S01001791","All","Count",306
"2009","S01001791","All","Count",311
"2010","S01001791","All","Count",305
"2011","S01001791","All","Count",307
"2012","S01001791","All","Count",307
"2013","S01001791","All","Count",307
"2003","S01001791","All","Count",299
"2010","S01001791","Flats","Count",71
"2006","S01001791","Flats","Count",71
"2012","S01001791","Flats","Count",71
"2011","S01001791","Flats","Count",71
"2009","S01001791","Flats","Count",77
"2013","S01001791","Flats","Count",71
"2007","S01001791","Flats","Count",71
"2008","S01001791","Flats","Count",71
"2008","S01001791","Semi-Detached","Count",90
"2010","S01001791","Semi-Detached","Count",90
"2007","S01001791","Semi-Detached","Count",90
"2011","S01001791","Semi-Detached","Count",90
"2012","S01001791","Semi-Detached","Count",90
"2006","S01001791","Semi-Detached","Count",90
"2013","S01001791","Semi-Detached","Count",90
"2009","S01001791","Semi-Detached","Count",90
"2013","S01001791","Terraced","Count",5
"2012","S01001791","Terraced","Count",5
"2008","S01001791","Terraced","Count",3
"2006","S01001791","Terraced","Count",0
"2009","S01001791","Terraced","Count",3
"2011","S01001791","Terraced","Count",5
"2007","S01001791","Terraced","Count",2
"2010","S01001791","Terraced","Count",4
"2006","S01001791","Unknown","Count",0
"2011","S01001791","Unknown","Count",0
"2007","S01001791","Unknown","Count",0
"2008","S01001791","Unknown","Count",0
"2012","S01001791","Unknown","Count",0
"2010","S01001791","Unknown","Count",0
"2009","S01001791","Unknown","Count",0
"2013","S01001791","Unknown","Count",0
"2009","S01001791","Detached","Count",141
"2006","S01001791","Detached","Count",142
"2012","S01001791","Detached","Count",141
"2008","S01001791","Unknown","Ratio",0
"2008","S01001791","Terraced","Ratio","0.98"
"2011","S01001791","Terraced","Ratio","1.63"
"2007","S01001791","Unknown","Ratio",0
"2011","S01001791","Unknown","Ratio",0
"2006","S01001791","Unknown","Ratio",0
"2007","S01001791","Semi-Detached","Ratio","29.51"
"2013","S01001791","Unknown","Ratio",0
"2006","S01001791","Semi-Detached","Ratio","29.7"
"2009","S01001791","Unknown","Ratio",0
"2007","S01001791","Flats","Ratio","23.28"
"2012","S01001791","Semi-Detached","Ratio","29.32"
"2010","S01001791","Flats","Ratio","23.28"
"2012","S01001791","Unknown","Ratio",0
"2010","S01001791","Unknown","Ratio",0
"2012","S01001791","Terraced","Ratio","1.63"
"2006","S01001791","Terraced","Ratio",0
"2013","S01001791","Detached","Ratio","45.93"
"2009","S01001791","Detached","Ratio","45.34"
"2009","S01001791","Flats","Ratio","24.76"
"2006","S01001791","Flats","Ratio","23.43"
"2013","S01001791","Flats","Ratio","23.13"
"2007","S01001791","Detached","Ratio","46.56"
"2012","S01001791","Detached","Ratio","45.93"
"2013","S01001791","Terraced","Ratio","1.63"
"2011","S01001791","Detached","Ratio","45.93"
"2013","S01001791","Semi-Detached","Ratio","29.32"
"2009","S01001791","Semi-Detached","Ratio","28.94"
"2006","S01001791","Detached","Ratio","46.86"
"2008","S01001791","Detached","Ratio","46.41"
"2008","S01001791","Flats","Ratio","23.2"
"2010","S01001791","Detached","Ratio","45.9"
"2009","S01001791","Terraced","Ratio","0.96"
"2012","S01001791","Flats","Ratio","23.13"
"2011","S01001791","Flats","Ratio","23.13"
"2007","S01001791","Terraced","Ratio","0.66"
"2010","S01001791","Semi-Detached","Ratio","29.51"
"2008","S01001791","Semi-Detached","Ratio","29.41"
"2010","S01001791","Terraced","Ratio","1.31"
"2011","S01001791","Semi-Detached","Ratio","29.32"
"2013","S01001792","Detached","Count",35
"2011","S01001792","Detached","Count",35
"2007","S01001792","Detached","Count",35
"2008","S01001792","Detached","Count",35
"2010","S01001792","Detached","Count",35
"2004","S01001792","All","Count",291
"2005","S01001792","All","Count",291
"2006","S01001792","All","Count",291
"2007","S01001792","All","Count",291
"2008","S01001792","All","Count",291
"2009","S01001792","All","Count",291
"2010","S01001792","All","Count",291
"2011","S01001792","All","Count",291
"2012","S01001792","All","Count",291
"2013","S01001792","All","Count",291
"2003","S01001792","All","Count",291
"2010","S01001792","Flats","Count",38
"2006","S01001792","Flats","Count",38
"2012","S01001792","Flats","Count",38
"2011","S01001792","Flats","Count",38
"2009","S01001792","Flats","Count",38
"2013","S01001792","Flats","Count",38
"2007","S01001792","Flats","Count",38
"2008","S01001792","Flats","Count",38
"2008","S01001792","Semi-Detached","Count",107
"2010","S01001792","Semi-Detached","Count",107
"2007","S01001792","Semi-Detached","Count",107
"2011","S01001792","Semi-Detached","Count",107
"2012","S01001792","Semi-Detached","Count",107
"2006","S01001792","Semi-Detached","Count",107
"2013","S01001792","Semi-Detached","Count",107
"2009","S01001792","Semi-Detached","Count",107
"2013","S01001792","Terraced","Count",111
"2012","S01001792","Terraced","Count",111
"2008","S01001792","Terraced","Count",111
"2006","S01001792","Terraced","Count",111
"2009","S01001792","Terraced","Count",111
"2011","S01001792","Terraced","Count",111
"2007","S01001792","Terraced","Count",111
"2010","S01001792","Terraced","Count",111
"2006","S01001792","Unknown","Count",0
"2011","S01001792","Unknown","Count",0
"2007","S01001792","Unknown","Count",0
"2008","S01001792","Unknown","Count",0
"2012","S01001792","Unknown","Count",0
"2010","S01001792","Unknown","Count",0
"2009","S01001792","Unknown","Count",0
"2013","S01001792","Unknown","Count",0
"2009","S01001792","Detached","Count",35
"2006","S01001792","Detached","Count",35
"2012","S01001792","Detached","Count",35
"2008","S01001792","Unknown","Ratio",0
"2008","S01001792","Terraced","Ratio","38.14"
"2011","S01001792","Terraced","Ratio","38.14"
"2007","S01001792","Unknown","Ratio",0
"2011","S01001792","Unknown","Ratio",0
"2006","S01001792","Unknown","Ratio",0
"2007","S01001792","Semi-Detached","Ratio","36.77"
"2013","S01001792","Unknown","Ratio",0
"2006","S01001792","Semi-Detached","Ratio","36.77"
"2009","S01001792","Unknown","Ratio",0
"2007","S01001792","Flats","Ratio","13.06"
"2012","S01001792","Semi-Detached","Ratio","36.77"
"2010","S01001792","Flats","Ratio","13.06"
"2012","S01001792","Unknown","Ratio",0
"2010","S01001792","Unknown","Ratio",0
"2012","S01001792","Terraced","Ratio","38.14"
"2006","S01001792","Terraced","Ratio","38.14"
"2013","S01001792","Detached","Ratio","12.03"
"2009","S01001792","Detached","Ratio","12.03"
"2009","S01001792","Flats","Ratio","13.06"
"2006","S01001792","Flats","Ratio","13.06"
"2013","S01001792","Flats","Ratio","13.06"
"2007","S01001792","Detached","Ratio","12.03"
"2012","S01001792","Detached","Ratio","12.03"
"2013","S01001792","Terraced","Ratio","38.14"
"2011","S01001792","Detached","Ratio","12.03"
"2013","S01001792","Semi-Detached","Ratio","36.77"
"2009","S01001792","Semi-Detached","Ratio","36.77"
"2006","S01001792","Detached","Ratio","12.03"
"2008","S01001792","Detached","Ratio","12.03"
"2008","S01001792","Flats","Ratio","13.06"
"2010","S01001792","Detached","Ratio","12.03"
"2009","S01001792","Terraced","Ratio","38.14"
"2012","S01001792","Flats","Ratio","13.06"
"2011","S01001792","Flats","Ratio","13.06"
"2007","S01001792","Terraced","Ratio","38.14"
"2010","S01001792","Semi-Detached","Ratio","36.77"
"2008","S01001792","Semi-Detached","Ratio","36.77"
"2010","S01001792","Terraced","Ratio","38.14"
"2011","S01001792","Semi-Detached","Ratio","36.77"
"2013","S01001793","Detached","Count",134
"2011","S01001793","Detached","Count",134
"2007","S01001793","Detached","Count",132
"2008","S01001793","Detached","Count",132
"2010","S01001793","Detached","Count",133
"2004","S01001793","All","Count",364
"2005","S01001793","All","Count",364
"2006","S01001793","All","Count",373
"2007","S01001793","All","Count",372
"2008","S01001793","All","Count",386
"2009","S01001793","All","Count",398
"2010","S01001793","All","Count",398
"2011","S01001793","All","Count",397
"2012","S01001793","All","Count",397
"2013","S01001793","All","Count",397
"2003","S01001793","All","Count",358
"2010","S01001793","Flats","Count",173
"2006","S01001793","Flats","Count",169
"2012","S01001793","Flats","Count",171
"2011","S01001793","Flats","Count",171
"2009","S01001793","Flats","Count",173
"2013","S01001793","Flats","Count",171
"2007","S01001793","Flats","Count",169
"2008","S01001793","Flats","Count",172
"2008","S01001793","Semi-Detached","Count",41
"2010","S01001793","Semi-Detached","Count",46
"2007","S01001793","Semi-Detached","Count",36
"2011","S01001793","Semi-Detached","Count",46
"2012","S01001793","Semi-Detached","Count",46
"2006","S01001793","Semi-Detached","Count",36
"2013","S01001793","Semi-Detached","Count",46
"2009","S01001793","Semi-Detached","Count",46
"2013","S01001793","Terraced","Count",46
"2012","S01001793","Terraced","Count",46
"2008","S01001793","Terraced","Count",41
"2006","S01001793","Terraced","Count",35
"2009","S01001793","Terraced","Count",46
"2011","S01001793","Terraced","Count",46
"2007","S01001793","Terraced","Count",35
"2010","S01001793","Terraced","Count",46
"2006","S01001793","Unknown","Count",0
"2011","S01001793","Unknown","Count",0
"2007","S01001793","Unknown","Count",0
"2008","S01001793","Unknown","Count",0
"2012","S01001793","Unknown","Count",0
"2010","S01001793","Unknown","Count",0
"2009","S01001793","Unknown","Count",0
"2013","S01001793","Unknown","Count",0
"2009","S01001793","Detached","Count",133
"2006","S01001793","Detached","Count",133
"2012","S01001793","Detached","Count",134
"2008","S01001793","Unknown","Ratio",0
"2008","S01001793","Terraced","Ratio","10.62"
"2011","S01001793","Terraced","Ratio","11.59"
"2007","S01001793","Unknown","Ratio",0
"2011","S01001793","Unknown","Ratio",0
"2006","S01001793","Unknown","Ratio",0
"2007","S01001793","Semi-Detached","Ratio","9.68"
"2013","S01001793","Unknown","Ratio",0
"2006","S01001793","Semi-Detached","Ratio","9.65"
"2009","S01001793","Unknown","Ratio",0
"2007","S01001793","Flats","Ratio","45.43"
"2012","S01001793","Semi-Detached","Ratio","11.59"
"2010","S01001793","Flats","Ratio","43.47"
"2012","S01001793","Unknown","Ratio",0
"2010","S01001793","Unknown","Ratio",0
"2012","S01001793","Terraced","Ratio","11.59"
"2006","S01001793","Terraced","Ratio","9.38"
"2013","S01001793","Detached","Ratio","33.75"
"2009","S01001793","Detached","Ratio","33.42"
"2009","S01001793","Flats","Ratio","43.47"
"2006","S01001793","Flats","Ratio","45.31"
"2013","S01001793","Flats","Ratio","43.07"
"2007","S01001793","Detached","Ratio","35.48"
"2012","S01001793","Detached","Ratio","33.75"
"2013","S01001793","Terraced","Ratio","11.59"
"2011","S01001793","Detached","Ratio","33.75"
"2013","S01001793","Semi-Detached","Ratio","11.59"
"2009","S01001793","Semi-Detached","Ratio","11.56"
"2006","S01001793","Detached","Ratio","35.66"
"2008","S01001793","Detached","Ratio","34.2"
"2008","S01001793","Flats","Ratio","44.56"
"2010","S01001793","Detached","Ratio","33.42"
"2009","S01001793","Terraced","Ratio","11.56"
"2012","S01001793","Flats","Ratio","43.07"
"2011","S01001793","Flats","Ratio","43.07"
"2007","S01001793","Terraced","Ratio","9.41"
"2010","S01001793","Semi-Detached","Ratio","11.56"
"2008","S01001793","Semi-Detached","Ratio","10.62"
"2010","S01001793","Terraced","Ratio","11.56"
"2011","S01001793","Semi-Detached","Ratio","11.59"
"2013","S01001794","Detached","Count",156
"2011","S01001794","Detached","Count",155
"2007","S01001794","Detached","Count",155
"2008","S01001794","Detached","Count",155
"2010","S01001794","Detached","Count",155
"2004","S01001794","All","Count",378
"2005","S01001794","All","Count",378
"2006","S01001794","All","Count",378
"2007","S01001794","All","Count",378
"2008","S01001794","All","Count",378
"2009","S01001794","All","Count",378
"2010","S01001794","All","Count",378
"2011","S01001794","All","Count",378
"2012","S01001794","All","Count",379
"2013","S01001794","All","Count",379
"2003","S01001794","All","Count",379
"2010","S01001794","Flats","Count",32
"2006","S01001794","Flats","Count",32
"2012","S01001794","Flats","Count",32
"2011","S01001794","Flats","Count",32
"2009","S01001794","Flats","Count",32
"2013","S01001794","Flats","Count",32
"2007","S01001794","Flats","Count",32
"2008","S01001794","Flats","Count",32
"2008","S01001794","Semi-Detached","Count",58
"2010","S01001794","Semi-Detached","Count",58
"2007","S01001794","Semi-Detached","Count",58
"2011","S01001794","Semi-Detached","Count",58
"2012","S01001794","Semi-Detached","Count",58
"2006","S01001794","Semi-Detached","Count",58
"2013","S01001794","Semi-Detached","Count",58
"2009","S01001794","Semi-Detached","Count",58
"2013","S01001794","Terraced","Count",133
"2012","S01001794","Terraced","Count",133
"2008","S01001794","Terraced","Count",133
"2006","S01001794","Terraced","Count",133
"2009","S01001794","Terraced","Count",133
"2011","S01001794","Terraced","Count",133
"2007","S01001794","Terraced","Count",133
"2010","S01001794","Terraced","Count",133
"2006","S01001794","Unknown","Count",0
"2011","S01001794","Unknown","Count",0
"2007","S01001794","Unknown","Count",0
"2008","S01001794","Unknown","Count",0
"2012","S01001794","Unknown","Count",0
"2010","S01001794","Unknown","Count",0
"2009","S01001794","Unknown","Count",0
"2013","S01001794","Unknown","Count",0
"2009","S01001794","Detached","Count",155
"2006","S01001794","Detached","Count",155
"2012","S01001794","Detached","Count",156
"2008","S01001794","Unknown","Ratio",0
"2008","S01001794","Terraced","Ratio","35.19"
"2011","S01001794","Terraced","Ratio","35.19"
"2007","S01001794","Unknown","Ratio",0
"2011","S01001794","Unknown","Ratio",0
"2006","S01001794","Unknown","Ratio",0
"2007","S01001794","Semi-Detached","Ratio","15.34"
"2013","S01001794","Unknown","Ratio",0
"2006","S01001794","Semi-Detached","Ratio","15.34"
"2009","S01001794","Unknown","Ratio",0
"2007","S01001794","Flats","Ratio","8.47"
"2012","S01001794","Semi-Detached","Ratio","15.3"
"2010","S01001794","Flats","Ratio","8.47"
"2012","S01001794","Unknown","Ratio",0
"2010","S01001794","Unknown","Ratio",0
"2012","S01001794","Terraced","Ratio","35.09"
"2006","S01001794","Terraced","Ratio","35.19"
"2013","S01001794","Detached","Ratio","41.16"
"2009","S01001794","Detached","Ratio","41.01"
"2009","S01001794","Flats","Ratio","8.47"
"2006","S01001794","Flats","Ratio","8.47"
"2013","S01001794","Flats","Ratio","8.44"
"2007","S01001794","Detached","Ratio","41.01"
"2012","S01001794","Detached","Ratio","41.16"
"2013","S01001794","Terraced","Ratio","35.09"
"2011","S01001794","Detached","Ratio","41.01"
"2013","S01001794","Semi-Detached","Ratio","15.3"
"2009","S01001794","Semi-Detached","Ratio","15.34"
"2006","S01001794","Detached","Ratio","41.01"
"2008","S01001794","Detached","Ratio","41.01"
"2008","S01001794","Flats","Ratio","8.47"
"2010","S01001794","Detached","Ratio","41.01"
"2009","S01001794","Terraced","Ratio","35.19"
"2012","S01001794","Flats","Ratio","8.44"
"2011","S01001794","Flats","Ratio","8.47"
"2007","S01001794","Terraced","Ratio","35.19"
"2010","S01001794","Semi-Detached","Ratio","15.34"
"2008","S01001794","Semi-Detached","Ratio","15.34"
"2010","S01001794","Terraced","Ratio","35.19"
"2011","S01001794","Semi-Detached","Ratio","15.34"
"2013","S01001795","Detached","Count",77
"2011","S01001795","Detached","Count",77
"2007","S01001795","Detached","Count",76
"2008","S01001795","Detached","Count",77
"2010","S01001795","Detached","Count",77
"2004","S01001795","All","Count",246
"2005","S01001795","All","Count",245
"2006","S01001795","All","Count",251
"2007","S01001795","All","Count",246
"2008","S01001795","All","Count",249
"2009","S01001795","All","Count",248
"2010","S01001795","All","Count",246
"2011","S01001795","All","Count",246
"2012","S01001795","All","Count",246
"2013","S01001795","All","Count",251
"2003","S01001795","All","Count",248
"2010","S01001795","Flats","Count",80
"2006","S01001795","Flats","Count",79
"2012","S01001795","Flats","Count",80
"2011","S01001795","Flats","Count",80
"2009","S01001795","Flats","Count",80
"2013","S01001795","Flats","Count",81
"2007","S01001795","Flats","Count",79
"2008","S01001795","Flats","Count",80
"2008","S01001795","Semi-Detached","Count",48
"2010","S01001795","Semi-Detached","Count",45
"2007","S01001795","Semi-Detached","Count",47
"2011","S01001795","Semi-Detached","Count",45
"2012","S01001795","Semi-Detached","Count",44
"2006","S01001795","Semi-Detached","Count",49
"2013","S01001795","Semi-Detached","Count",44
"2009","S01001795","Semi-Detached","Count",46
"2013","S01001795","Terraced","Count",49
"2012","S01001795","Terraced","Count",45
"2008","S01001795","Terraced","Count",44
"2006","S01001795","Terraced","Count",47
"2009","S01001795","Terraced","Count",45
"2011","S01001795","Terraced","Count",44
"2007","S01001795","Terraced","Count",44
"2010","S01001795","Terraced","Count",44
"2006","S01001795","Unknown","Count",0
"2011","S01001795","Unknown","Count",0
"2007","S01001795","Unknown","Count",0
"2008","S01001795","Unknown","Count",0
"2012","S01001795","Unknown","Count",0
"2010","S01001795","Unknown","Count",0
"2009","S01001795","Unknown","Count",0
"2013","S01001795","Unknown","Count",0
"2009","S01001795","Detached","Count",77
"2006","S01001795","Detached","Count",76
"2012","S01001795","Detached","Count",77
"2008","S01001795","Unknown","Ratio",0
"2008","S01001795","Terraced","Ratio","17.67"
"2011","S01001795","Terraced","Ratio","17.89"
"2007","S01001795","Unknown","Ratio",0
"2011","S01001795","Unknown","Ratio",0
"2006","S01001795","Unknown","Ratio",0
"2007","S01001795","Semi-Detached","Ratio","19.11"
"2013","S01001795","Unknown","Ratio",0
"2006","S01001795","Semi-Detached","Ratio","19.52"
"2009","S01001795","Unknown","Ratio",0
"2007","S01001795","Flats","Ratio","32.11"
"2012","S01001795","Semi-Detached","Ratio","17.89"
"2010","S01001795","Flats","Ratio","32.52"
"2012","S01001795","Unknown","Ratio",0
"2010","S01001795","Unknown","Ratio",0
"2012","S01001795","Terraced","Ratio","18.29"
"2006","S01001795","Terraced","Ratio","18.73"
"2013","S01001795","Detached","Ratio","30.68"
"2009","S01001795","Detached","Ratio","31.05"
"2009","S01001795","Flats","Ratio","32.26"
"2006","S01001795","Flats","Ratio","31.47"
"2013","S01001795","Flats","Ratio","32.27"
"2007","S01001795","Detached","Ratio","30.89"
"2012","S01001795","Detached","Ratio","31.3"
"2013","S01001795","Terraced","Ratio","19.52"
"2011","S01001795","Detached","Ratio","31.3"
"2013","S01001795","Semi-Detached","Ratio","17.53"
"2009","S01001795","Semi-Detached","Ratio","18.55"
"2006","S01001795","Detached","Ratio","30.28"
"2008","S01001795","Detached","Ratio","30.92"
"2008","S01001795","Flats","Ratio","32.13"
"2010","S01001795","Detached","Ratio","31.3"
"2009","S01001795","Terraced","Ratio","18.15"
"2012","S01001795","Flats","Ratio","32.52"
"2011","S01001795","Flats","Ratio","32.52"
"2007","S01001795","Terraced","Ratio","17.89"
"2010","S01001795","Semi-Detached","Ratio","18.29"
"2008","S01001795","Semi-Detached","Ratio","19.28"
"2010","S01001795","Terraced","Ratio","17.89"
"2011","S01001795","Semi-Detached","Ratio","18.29"
"2013","S01001796","Detached","Count",314
"2011","S01001796","Detached","Count",314
"2007","S01001796","Detached","Count",314
"2008","S01001796","Detached","Count",314
"2010","S01001796","Detached","Count",314
"2004","S01001796","All","Count",336
"2005","S01001796","All","Count",336
"2006","S01001796","All","Count",337
"2007","S01001796","All","Count",338
"2008","S01001796","All","Count",325
"2009","S01001796","All","Count",325
"2010","S01001796","All","Count",325
"2011","S01001796","All","Count",325
"2012","S01001796","All","Count",325
"2013","S01001796","All","Count",325
"2003","S01001796","All","Count",336
"2010","S01001796","Flats","Count",0
"2006","S01001796","Flats","Count",0
"2012","S01001796","Flats","Count",0
"2011","S01001796","Flats","Count",0
"2009","S01001796","Flats","Count",0
"2013","S01001796","Flats","Count",0
"2007","S01001796","Flats","Count",0
"2008","S01001796","Flats","Count",0
"2008","S01001796","Semi-Detached","Count",7
"2010","S01001796","Semi-Detached","Count",7
"2007","S01001796","Semi-Detached","Count",20
"2011","S01001796","Semi-Detached","Count",7
"2012","S01001796","Semi-Detached","Count",7
"2006","S01001796","Semi-Detached","Count",20
"2013","S01001796","Semi-Detached","Count",7
"2009","S01001796","Semi-Detached","Count",7
"2013","S01001796","Terraced","Count",4
"2012","S01001796","Terraced","Count",4
"2008","S01001796","Terraced","Count",4
"2006","S01001796","Terraced","Count",4
"2009","S01001796","Terraced","Count",4
"2011","S01001796","Terraced","Count",4
"2007","S01001796","Terraced","Count",4
"2010","S01001796","Terraced","Count",4
"2006","S01001796","Unknown","Count",0
"2011","S01001796","Unknown","Count",0
"2007","S01001796","Unknown","Count",0
"2008","S01001796","Unknown","Count",0
"2012","S01001796","Unknown","Count",0
"2010","S01001796","Unknown","Count",0
"2009","S01001796","Unknown","Count",0
"2013","S01001796","Unknown","Count",0
"2009","S01001796","Detached","Count",314
"2006","S01001796","Detached","Count",313
"2012","S01001796","Detached","Count",314
"2008","S01001796","Unknown","Ratio",0
"2008","S01001796","Terraced","Ratio","1.23"
"2011","S01001796","Terraced","Ratio","1.23"
"2007","S01001796","Unknown","Ratio",0
"2011","S01001796","Unknown","Ratio",0
"2006","S01001796","Unknown","Ratio",0
"2007","S01001796","Semi-Detached","Ratio","5.92"
"2013","S01001796","Unknown","Ratio",0
"2006","S01001796","Semi-Detached","Ratio","5.93"
"2009","S01001796","Unknown","Ratio",0
"2007","S01001796","Flats","Ratio",0
"2012","S01001796","Semi-Detached","Ratio","2.15"
"2010","S01001796","Flats","Ratio",0
"2012","S01001796","Unknown","Ratio",0
"2010","S01001796","Unknown","Ratio",0
"2012","S01001796","Terraced","Ratio","1.23"
"2006","S01001796","Terraced","Ratio","1.19"
"2013","S01001796","Detached","Ratio","96.62"
"2009","S01001796","Detached","Ratio","96.62"
"2009","S01001796","Flats","Ratio",0
"2006","S01001796","Flats","Ratio",0
"2013","S01001796","Flats","Ratio",0
"2007","S01001796","Detached","Ratio","92.9"
"2012","S01001796","Detached","Ratio","96.62"
"2013","S01001796","Terraced","Ratio","1.23"
"2011","S01001796","Detached","Ratio","96.62"
"2013","S01001796","Semi-Detached","Ratio","2.15"
"2009","S01001796","Semi-Detached","Ratio","2.15"
"2006","S01001796","Detached","Ratio","92.88"
"2008","S01001796","Detached","Ratio","96.62"
"2008","S01001796","Flats","Ratio",0
"2010","S01001796","Detached","Ratio","96.62"
"2009","S01001796","Terraced","Ratio","1.23"
"2012","S01001796","Flats","Ratio",0
"2011","S01001796","Flats","Ratio",0
"2007","S01001796","Terraced","Ratio","1.18"
"2010","S01001796","Semi-Detached","Ratio","2.15"
"2008","S01001796","Semi-Detached","Ratio","2.15"
"2010","S01001796","Terraced","Ratio","1.23"
"2011","S01001796","Semi-Detached","Ratio","2.15"
"2013","S01001797","Detached","Count",45
"2011","S01001797","Detached","Count",45
"2007","S01001797","Detached","Count",45
"2008","S01001797","Detached","Count",45
"2010","S01001797","Detached","Count",45
"2004","S01001797","All","Count",328
"2005","S01001797","All","Count",328
"2006","S01001797","All","Count",329
"2007","S01001797","All","Count",329
"2008","S01001797","All","Count",329
"2009","S01001797","All","Count",329
"2010","S01001797","All","Count",329
"2011","S01001797","All","Count",329
"2012","S01001797","All","Count",329
"2013","S01001797","All","Count",330
"2003","S01001797","All","Count",328
"2010","S01001797","Flats","Count",87
"2006","S01001797","Flats","Count",87
"2012","S01001797","Flats","Count",87
"2011","S01001797","Flats","Count",87
"2009","S01001797","Flats","Count",87
"2013","S01001797","Flats","Count",88
"2007","S01001797","Flats","Count",87
"2008","S01001797","Flats","Count",87
"2008","S01001797","Semi-Detached","Count",108
"2010","S01001797","Semi-Detached","Count",108
"2007","S01001797","Semi-Detached","Count",108
"2011","S01001797","Semi-Detached","Count",108
"2012","S01001797","Semi-Detached","Count",108
"2006","S01001797","Semi-Detached","Count",108
"2013","S01001797","Semi-Detached","Count",108
"2009","S01001797","Semi-Detached","Count",108
"2013","S01001797","Terraced","Count",89
"2012","S01001797","Terraced","Count",89
"2008","S01001797","Terraced","Count",89
"2006","S01001797","Terraced","Count",89
"2009","S01001797","Terraced","Count",89
"2011","S01001797","Terraced","Count",89
"2007","S01001797","Terraced","Count",89
"2010","S01001797","Terraced","Count",89
"2006","S01001797","Unknown","Count",0
"2011","S01001797","Unknown","Count",0
"2007","S01001797","Unknown","Count",0
